simulation_id,winner_name,total_steps,final_civs,winner_resources,winner_tech,winner_weapon_investment,winner_search_investment,winner_camo_investment,winner_survival_drive,winner_known_civs,total_interactions,total_attacks,total_cooperations,avg_resource_pressure,max_resource_pressure
50,Kepler-442,245,1,1504.1559867277856,32699.164709266744,1866.1128451897855,983.1177524126725,12.94064242618141,0.7,3,0,0,0,0.004298126490753438,0.03015502660909397
51,Barnard's Star,260,1,7.837860771783339,56.835594043384596,48.62022943637263,339.17809867401115,15.243566054339611,0.7,0,0,0,0,0.0016265221362840418,0.016504329084990253
52,Proxima B,293,1,1612.697732668137,30257.828031697245,599.4585897934398,1244.7125134778137,15.210652242740812,0.7,2,0,0,0,0.0019736217608485444,0.025110396972854155
53,Sol,218,1,256.3923006050354,3029.409935106758,119.72649428451993,649.3640646728966,5.091338302273785,0.7,2,0,0,0,0.0010788773423630797,0.008
54,Tau Ceti,312,1,408.2706074377544,6090.696741572842,187.2056282801503,1227.0340360511716,3.585286489100228,0.7,1,0,0,0,0.0022551892903386974,0.010467025038243741
55,,218,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0007943780628512751,0.008
56,Sol,345,1,642.0824852824665,10747.070530502153,1209.431875132679,936.0980423233525,8.610837146793056,0.7,2,0,0,0,0.003346775548191192,0.01929289031234311
57,Xylos,261,1,2194.0223678065777,54305.68407042565,1372.1095640849892,1228.62006005025,10.848714274547737,0.7,2,0,0,0,0.003659085086821959,0.04392987813650917
58,Barnard's Star,277,1,918.4259430272538,17242.609937094498,643.588608335835,2006.1211878269437,3.7823471040575436,0.7,1,0,0,0,0.004678380669617706,0.07170023854699874
59,Alpha Centauri,245,1,498.0611385936837,10271.37723476178,268.04623988518927,1085.3201526923751,8.753715354825136,0.7,2,0,0,0,0.0015379424026071764,0.008
60,Barnard's Star,282,1,2372.208586001708,45366.893805894186,1494.0533563441847,1582.8337821895357,12.712922046074816,0.7,2,0,0,0,0.0050226396221629225,0.06067989881325582
61,TRAPPIST-1,266,1,403.0370560462708,5963.771491485879,430.04592721326685,1342.204744110738,9.018899988044298,0.7,3,0,0,0,0.0015165698808930043,0.008
62,Proxima B,238,1,2055.8364598079406,50880.91439739394,1638.4275535557067,1144.1023051558861,4.933433427384386,0.7,3,0,0,0,0.0035906159277862846,0.03943772946817288
63,Tau Ceti,231,1,21.31711571300368,331.71804874454443,62.92887407943873,372.2742796551088,8.087638208131885,0.7,0,0,0,0,0.001242079955878388,0.009094120771074634
64,Barnard's Star,221,1,215.0326114136706,2202.5479903361534,113.99672019911159,745.3732284228621,6.096015082341788,0.7,3,0,0,0,0.0010150869378194494,0.008
65,Kepler-442,236,1,568.4719213784407,13606.057964506477,206.5762267706182,1183.4335669457416,9.548401294705062,0.7,2,0,0,0,0.001454569580625518,0.010306760680995833
66,,205,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0014577894180672298,0.00884184540885554
67,Alpha Centauri,279,1,382.1331192477917,6458.179286642372,532.6156994254231,1285.2642789774927,18.641700270735555,0.7,3,0,0,0,0.0019143349113071276,0.00841671989828652
68,Xylos,271,1,117.86121500447777,257.40291223960037,38.697280035957746,423.19704370799917,5.904224507644903,0.7,1,0,0,0,0.0011272781321609157,0.008
69,Sol,227,1,757.9796442678547,13120.017153771316,458.27012528425666,1340.4383091436944,3.1572278908427585,0.7,2,0,0,0,0.0024330122117488862,0.017226011985394543
70,TRAPPIST-1,238,1,318.04832847434295,4263.147052771603,268.6593050625052,876.0206473875763,9.602453809956552,0.7,2,0,0,0,0.0009834918207574314,0.008
71,Sol,298,1,907.5356066947296,21913.866183374554,623.4253080461135,1427.0404293530848,4.6890595490670615,0.7,2,0,0,0,0.002738306997274846,0.016506280284132032
72,TRAPPIST-1,265,1,534.555124152577,10658.397945512903,501.4805383497414,1248.9153855325017,5.989259478680011,0.7,2,0,0,0,0.0018670801054651222,0.010483549706672275
73,Epsilon Eridani,221,1,175.1793365812536,1404.338524990885,104.29612868152981,448.21703555986323,4.473454284649742,0.7,1,0,0,0,0.002853340988530809,0.025715366963543707
74,Epsilon Eridani,277,1,311.22632107768766,4126.63868476453,411.840803944156,996.160254649437,13.807496307856491,0.7,2,0,0,0,0.0022494242436205173,0.011027998631127512
